# CATWOMAN bench
# Test started 2011-05-06 13:46:37.623392
# Title: 2011-05-06 13:46:37.623392
alice,100,0,96.7,17.458,4,95,4.2
bob,100,0,99.2,4.939,2,95,2.1
alice,100,1,97.8,25.472,2,95,2.1
bob,100,1,99.9,7.408,0,95,0
alice,200,0,201,18.630,0,189,0
bob,200,0,198,17.804,0,189,0
alice,200,1,192,55.723,2,189,1.1
bob,200,1,199,28.051,0,189,0
alice,300,0,289,23.541,8,282,2.8
bob,300,0,292,21.893,4,282,1.4
alice,300,1,261,26.895,32,282,11
bob,300,1,291,21.859,3,282,1.1
alice,400,0,166,40.949,203,376,54
bob,400,0,172,35.388,196,376,52
