#Timestamp,Node,Speed,Test,Transmitted,Received,Forwarded,Coded,Dropped,Decoded,Failed,Coding packets,Decoding packets,CPU,Last
1304683723,alice node,200,0,10,9,0,0,0,0,0,0,0,4,0
1304683724,alice node,200,0,29,27,0,0,0,0,0,0,0,12,0
1304683725,alice node,200,0,48,45,0,0,0,0,0,0,0,12,0
1304683726,alice node,200,0,67,64,0,0,0,0,0,0,0,12,0
1304683728,alice node,200,0,86,80,0,0,0,0,0,0,0,14,0
1304683729,alice node,200,0,106,96,0,0,0,0,0,0,0,9,0
1304683730,alice node,200,0,125,113,0,0,0,0,0,0,0,13,0
1304683731,alice node,200,0,144,123,0,0,0,0,0,0,0,10,0
1304683732,alice node,200,0,163,138,0,0,0,0,0,0,0,10,0
1304683733,alice node,200,0,181,157,0,0,0,0,0,0,0,12,0
1304683734,alice node,200,0,200,174,0,0,0,0,0,0,0,13,0
1304683735,alice node,200,0,219,193,0,0,0,0,0,0,0,11,0
1304683736,alice node,200,0,238,209,0,0,0,0,0,0,0,9,0
1304683738,alice node,200,0,256,227,0,0,0,0,0,0,0,9,1
1304683723,bob node,200,0,10,6,0,0,0,0,0,0,0,12,0
1304683724,bob node,200,0,29,20,0,0,0,0,0,0,0,18,0
1304683725,bob node,200,0,48,37,0,0,0,0,0,0,0,13,0
1304683726,bob node,200,0,67,54,0,0,0,0,0,0,0,19,0
1304683728,bob node,200,0,85,64,0,0,0,0,0,0,0,14,0
1304683729,bob node,200,0,106,79,0,0,0,0,0,0,0,11,0
1304683730,bob node,200,0,125,93,0,0,0,0,0,0,0,14,0
1304683731,bob node,200,0,144,108,0,0,0,0,0,0,0,12,0
1304683732,bob node,200,0,163,119,0,0,0,0,0,0,0,16,0
1304683733,bob node,200,0,182,136,0,0,0,0,0,0,0,15,0
1304683734,bob node,200,0,201,152,0,0,0,0,0,0,0,12,0
1304683735,bob node,200,0,220,171,0,0,0,0,0,0,0,18,0
1304683736,bob node,200,0,239,186,0,0,0,0,0,0,0,15,0
1304683738,bob node,200,0,258,200,0,0,0,0,0,0,0,11,1
1304683723,relay,200,0,0,0,0,0,0,0,0,0,0,6,0
1304683724,relay,200,0,0,0,0,0,0,0,0,0,0,9,0
1304683725,relay,200,0,0,0,0,0,0,0,0,0,0,13,0
1304683726,relay,200,0,0,0,0,0,0,0,0,0,0,12,0
1304683727,relay,200,0,0,0,0,0,0,0,0,0,0,9,0
1304683728,relay,200,0,0,0,0,0,0,0,0,0,0,15,0
1304683730,relay,200,0,0,0,0,0,0,0,0,0,0,14,0
1304683731,relay,200,0,0,0,0,0,0,0,0,0,0,18,0
1304683732,relay,200,0,0,0,0,0,0,0,0,0,0,13,0
1304683733,relay,200,0,0,0,0,0,0,0,0,0,0,12,0
1304683734,relay,200,0,0,0,0,0,0,0,0,0,0,21,0
1304683735,relay,200,0,0,0,13,0,0,0,0,0,0,15,0
1304683736,relay,200,0,0,0,30,0,0,0,0,0,0,10,0
1304683737,relay,200,0,0,0,47,0,0,0,0,0,0,15,1
1304683741,alice node,200,1,10,9,0,0,0,0,0,0,0,5,0
1304683742,alice node,200,1,29,27,0,0,0,0,0,0,0,9,0
1304683743,alice node,200,1,48,44,0,0,0,0,0,0,0,12,0
1304683745,alice node,200,1,67,62,0,0,0,0,0,0,0,10,0
1304683746,alice node,200,1,87,81,0,0,0,0,0,0,0,12,0
1304683747,alice node,200,1,106,101,0,0,0,0,0,0,0,12,0
1304683748,alice node,200,1,125,120,0,0,0,0,0,0,0,12,0
1304683749,alice node,200,1,144,139,0,0,0,0,0,0,0,15,0
1304683750,alice node,200,1,162,158,0,0,0,0,0,0,0,13,0
1304683751,alice node,200,1,181,177,0,0,0,0,0,0,0,14,0
