# CATWOMAN bench
# Test started 2011-05-06 10:23:18.343329
# Title: 2011-05-06 10:23:18.343329
alice,100,0,98.0,6.476,2,95,2.1
bob,100,0,100,12.404,0,95,0
alice,100,1,100,6.555,0,95,0
bob,100,1,100,9.639,0,95,0
alice,200,0,199,3.112,1,189,0.53
bob,200,0,201,2.405,0,189,0
alice,200,1,200,12.291,0,189,0
bob,200,1,200,14.954,0,189,0
alice,300,0,297,13.034,3,282,1.1
bob,300,0,299,16.010,1,282,0.35
alice,300,1,297,12.122,1,282,0.35
bob,300,1,299,10.397,0,282,0
alice,400,0,260,39.405,118,376,31
bob,400,0,273,20.786,102,376,27
alice,400,1,286,26.007,84,376,22
bob,400,1,287,29.137,73,376,19
alice,500,0,236,59.190,215,469,46
bob,500,0,344,14.076,115,469,25
alice,500,1,249,18.505,210,469,45
bob,500,1,276,39.607,177,469,38
